Player,Test_Rank,Test_Matches,Test_Innings,Test_Average,Test_Strike_Rate,Test_Highest_Score,Test_Fours,Test_Sixes,Test_Fifties,Test_Hundreds,Test_Runs,ODI_Rank,ODI_Matches,ODI_Innings,ODI_Average,ODI_Strike_Rate,ODI_Highest_Score,ODI_Fours,ODI_Sixes,ODI_Fifties,ODI_Hundreds,ODI_Runs,T20I_Rank,T20I_Matches,T20I_Innings,T20I_Average,T20I_Strike_Rate,T20I_Highest_Score,T20I_Fours,T20I_Sixes,T20I_Fifties,T20I_Hundreds,T20I_Runs,Gender
Kiran Prabhu Navgire,,,,,,,,,,,,,,,,,,,,,,,49.0,6.0,4.0,5.66,89.47,10.0,2,-,-,-,17.0,Female
Kranti Gaud,90.0,1.0,2.0,1.0,16.66,1.0,-,-,-,-,1.0,90.0,17.0,9.0,8.8,70.96,19.0,5,-,-,-,44.0,48.0,14.0,4.0,8.5,130.76,12.0,2,1,-,-,17.0,Female
Latika Kumari,,,,,,,,,,,,,,,,,,,,,,,37.0,6.0,6.0,10.16,63.54,36.0,7,-,-,-,61.0,Female
Laya Francis,81.0,4.0,4.0,1.5,13.95,4.0,-,-,-,-,6.0,114.0,11.0,5.0,2.6,-,6.0,-,-,-,-,13.0,,,,,,,,,,,,Female
Lopamudra Bhattacharj,79.0,1.0,1.0,7.0,-,7.0,-,-,-,-,7.0,92.0,15.0,12.0,4.44,-,14.0,-,-,-,-,40.0,,,,,,,,,,,,Female
Madhuri Mehta,,,,,,,,,,,,97.0,2.0,2.0,12.5,39.06,23.0,1,-,-,-,25.0,46.0,3.0,2.0,11.5,62.16,23.0,3,-,-,-,23.0,Female
Mamatha Kanojia,,,,,,,,,,,,81.0,7.0,4.0,15.25,49.19,30.0,5,1,-,-,61.0,59.0,4.0,3.0,3.33,-,6.0,-,-,-,-,10.0,Female
Mamatha Maben,35.0,4.0,4.0,31.25,-,50.0,-,-,1,-,125.0,32.0,40.0,30.0,17.95,-,53.0,-,-,1,-,359.0,,,,,,,,,,,,Female
Manimala Singhal,38.0,6.0,10.0,14.5,-,44.0,-,-,-,-,116.0,117.0,6.0,4.0,3.0,-,5.0,-,-,-,-,12.0,,,,,,,,,,,,Female
Manju Nadgoda,,,,,,,,,,,,140.0,1.0,1.0,1.0,7.69,1.0,-,-,-,-,1.0,,,,,,,,,,,,Female
Mansi Joshi,,,,,,,,,,,,107.0,14.0,4.0,6.66,62.5,12.0,2,-,-,-,20.0,67.0,8.0,3.0,0.0,31.57,3.0,-,-,-,-,6.0,Female
Meghna Singh,88.0,1.0,1.0,0.0,33.33,2.0,-,-,-,-,2.0,94.0,17.0,8.0,11.0,67.34,12.0,4,-,-,-,33.0,80.0,9.0,2.0,0.5,50,1.0,-,-,-,-,1.0,Female
Minnu Mani,,,,,,,,,,,,84.0,3.0,2.0,54.0,96.42,46.0,5,-,-,-,54.0,69.0,4.0,2.0,6.0,120,5.0,1,-,-,-,6.0,Female
Minoti Desai,52.0,1.0,2.0,28.0,-,54.0,-,-,1,-,56.0,,,,,,,,,,,,,,,,,,,,,,,Female
Mithali Raj,4.0,12.0,19.0,43.68,39.90,214.0,86,-,4,1,699.0,1.0,232.0,211.0,50.68,67.54,125.0,805,19,64,7,7805.0,5.0,89.0,84.0,37.52,97.45,97.0,240,13,17,-,2364.0,Female
Mithu Mukherjee,45.0,4.0,8.0,10.85,-,28.0,-,-,-,-,76.0,,,,,,,,,,,,,,,,,,,,,,,Female
Mona Meshram,,,,,,,,,,,,33.0,26.0,21.0,18.52,53.74,78.0,38,4,3,-,352.0,26.0,11.0,9.0,17.85,78.61,32.0,8,-,-,-,125.0,Female
Monica Patel,,,,,,,,,,,,116.0,2.0,2.0,6.5,37.14,9.0,1,-,-,-,13.0,,,,,,,,,,,,Female
Monica Sumra,50.0,3.0,6.0,10.16,16.13,29.0,6,-,-,-,61.0,38.0,14.0,12.0,27.63,51.35,63.0,31,-,3,-,304.0,,,,,,,,,,,,Female
Neeta Kadam,86.0,1.0,1.0,3.0,-,3.0,-,-,-,-,3.0,110.0,2.0,1.0,17.0,-,17.0,-,-,-,-,17.0,,,,,,,,,,,,Female
Neetu David,68.0,10.0,11.0,6.25,-,11.0,-,-,-,-,25.0,76.0,97.0,30.0,4.93,36.27,18.0,5,-,-,-,74.0,,,,,,,,,,,,Female
Neha Tanwar,,,,,,,,,,,,87.0,5.0,5.0,9.4,32.41,19.0,7,-,-,-,47.0,47.0,2.0,2.0,9.5,46.34,17.0,1,-,-,-,19.0,Female
Nilima Jogalekar,29.0,5.0,9.0,18.44,-,41.0,-,-,-,-,166.0,50.0,20.0,20.0,11.35,-,38.0,-,-,-,-,193.0,,,,,,,,,,,,Female
Niranjana Nagarajan,67.0,2.0,1.0,27.0,32.53,27.0,4,-,-,-,27.0,77.0,22.0,12.0,8.75,64.22,12.0,9,-,-,-,70.0,38.0,14.0,8.0,7.0,110.52,15.0,5,-,-,-,42.0,Female
Nooshin Al Khadeer,56.0,5.0,7.0,9.2,23.83,16.0,6,-,-,-,46.0,55.0,78.0,27.0,8.05,48.88,21.0,16,-,-,-,153.0,,,,,,,,,,,,Female
Nuzhat Parween,,,,,,,,,,,,,,,,,,,,,,,81.0,5.0,1.0,1.0,33.33,1.0,-,-,-,-,1.0,Female
Pooja Vastrakar,39.0,5.0,6.0,27.75,35.35,47.0,20,-,-,-,111.0,23.0,33.0,28.0,25.43,87.05,67.0,51,11,4,-,585.0,15.0,72.0,43.0,13.83,114.48,37.0,34,5,-,-,332.0,Female
Poonam Yadav,,,,,,,,,,,,68.0,58.0,21.0,7.91,41.66,15.0,9,-,-,-,95.0,52.0,72.0,11.0,2.8,60.86,4.0,-,-,-,-,14.0,Female
Pramila S Bhatt,37.0,5.0,7.0,24.6,-,42.0,-,-,-,-,123.0,59.0,22.0,15.0,12.36,-,33.0,-,-,-,-,136.0,,,,,,,,,,,,Female
Pratika Rawal,44.0,1.0,2.0,40.5,45,63.0,11,-,1,-,81.0,12.0,27.0,26.0,47.56,82.34,154.0,141,10,8,2,1189.0,,,,,,,,,,,,Female
Preeti Bose,,,,,,,,,,,,,,,,,,,,,,,77.0,5.0,1.0,0.0,33.33,2.0,-,-,-,-,2.0,Female
Preeti Dimri,73.0,2.0,3.0,19.0,38,19.0,4,-,-,-,19.0,100.0,23.0,5.0,11.5,74.19,12.0,2,1,-,-,23.0,,,,,,,,,,,,Female
Prema Rawat,,,,,,,,,,,,,,,,,,,,,,,76.0,1.0,1.0,0.0,150,3.0,-,-,-,-,3.0,Female
Priya Mishra,,,,,,,,,,,,124.0,9.0,4.0,3.0,20,5.0,-,-,-,-,6.0,,,,,,,,,,,,Female
Priya Punia,,,,,,,,,,,,42.0,12.0,11.0,27.3,57.11,75.0,31,1,2,-,273.0,63.0,3.0,3.0,3.0,52.94,4.0,1,-,-,-,9.0,Female
Priyanka Roy,,,,,,,,,,,,35.0,27.0,22.0,16.65,51.38,69.0,34,-,1,-,333.0,28.0,15.0,10.0,10.55,87.15,22.0,8,-,-,-,95.0,Female
Punam Raut,19.0,4.0,7.0,44.0,32.91,130.0,33,-,-,1,264.0,6.0,73.0,73.0,34.83,58.26,109.0,261,6,15,3,2299.0,9.0,35.0,31.0,27.65,92.17,75.0,81,-,4,-,719.0,Female
Purnima Choudhary,,,,,,,,,,,,108.0,5.0,4.0,20.0,66.66,11.0,1,-,-,-,20.0,,,,,,,,,,,,Female
Purnima Rau,36.0,5.0,8.0,15.37,-,33.0,-,-,-,-,123.0,26.0,33.0,27.0,21.5,-,67.0,-,-,2,-,516.0,,,,,,,,,,,,Female
Radha Yadav,,,,,,,,,,,,64.0,14.0,8.0,17.5,86.77,48.0,10,-,-,-,105.0,29.0,91.0,26.0,5.47,95.87,14.0,5,1,-,-,93.0,Female
Raghvi Anand Singh Bist,,,,,,,,,,,,,,,,,,,,,,,42.0,2.0,2.0,36.0,120,31.0,2,1,-,-,36.0,Female
Rajani Venugopal,21.0,6.0,10.0,25.8,-,58.0,-,-,3,-,258.0,70.0,9.0,8.0,13.14,-,54.0,-,-,1,-,92.0,,,,,,,,,,,,Female
Rajeshwari Dholakia,59.0,4.0,6.0,20.0,-,24.0,-,-,-,-,40.0,58.0,13.0,13.0,12.54,-,35.0,-,-,-,-,138.0,,,,,,,,,,,,Female
Rajeshwari Gayakwad,,,,,,,,,,,,105.0,64.0,20.0,2.33,23.59,5.0,1,-,-,-,21.0,55.0,58.0,9.0,12.0,57.14,5.0,1,-,-,-,12.0,Female
Rajeshwari Goyal,,,,,,,,,,,,130.0,5.0,2.0,2.0,100,2.0,-,-,-,-,2.0,,,,,,,,,,,,Female
Ravi Kalpana,,,,,,,,,,,,126.0,7.0,3.0,2.0,16,3.0,-,-,-,-,4.0,,,,,,,,,,,,Female
Reema Malhotra,71.0,1.0,2.0,23.0,31.94,12.0,3,-,-,-,23.0,28.0,41.0,33.0,21.0,51.5,59.0,36,-,1,-,462.0,27.0,22.0,14.0,19.16,72.32,32.0,7,-,-,-,115.0,Female
Rekha Godbole,83.0,1.0,1.0,6.0,-,6.0,-,-,-,-,6.0,75.0,4.0,4.0,26.0,-,44.0,-,-,-,-,78.0,,,,,,,,,,,,Female
Rekha Punekar,55.0,2.0,3.0,16.33,-,47.0,-,-,-,-,49.0,,,,,,,,,,,,,,,,,,,,,,,Female
Renu Margrate,51.0,5.0,6.0,14.5,-,27.0,-,-,-,-,58.0,74.0,23.0,15.0,7.09,63.41,21.0,8,-,-,-,78.0,,,,,,,,,,,,Female
Renuka Thakur,76.0,3.0,2.0,4.5,56.25,8.0,2,-,-,-,9.0,106.0,29.0,16.0,2.33,37.5,8.0,2,-,-,-,21.0,54.0,65.0,9.0,4.33,86.66,4.0,1,-,-,-,13.0,Female
Reshma Gandhi,,,,,,,,,,,,60.0,2.0,2.0,0.0,-,104.0,-,-,-,1,122.0,,,,,,,,,,,,Female
Richa Ghosh,30.0,3.0,5.0,32.4,60.22,86.0,27,-,2,-,162.0,11.0,54.0,52.0,28.76,102.45,96.0,126,38,7,-,1208.0,6.0,88.0,74.0,27.2,144.57,64.0,154,46,2,-,1333.0,Female
Rishijae Mudgel,65.0,2.0,4.0,10.0,24,24.0,1,-,-,-,30.0,112.0,6.0,4.0,3.75,18.51,15.0,-,-,-,-,15.0,,,,,,,,,,,,Female
Rita Dey,42.0,2.0,4.0,28.0,-,46.0,-,-,-,-,84.0,73.0,6.0,5.0,16.8,-,33.0,-,-,-,-,84.0,,,,,,,,,,,,Female
Rita Patel,,,,,,,,,,,,139.0,1.0,1.0,1.0,-,1.0,-,-,-,-,1.0,,,,,,,,,,,,Female
Ritu Dhrub,,,,,,,,,,,,132.0,3.0,1.0,2.0,15.38,2.0,-,-,-,-,2.0,79.0,3.0,1.0,0.0,100,2.0,-,-,-,-,2.0,Female
Rumeli Dhar,24.0,4.0,8.0,29.5,39.53,57.0,33,-,1,-,236.0,16.0,78.0,60.0,19.61,60.89,92.0,83,8,6,-,961.0,25.0,18.0,11.0,18.71,88.51,66.0,10,-,1,-,131.0,Female
Runa Basu,72.0,5.0,6.0,3.33,-,5.0,-,-,-,-,20.0,96.0,6.0,5.0,13.0,-,10.0,-,-,-,-,26.0,,,,,,,,,,,,Female
Rupanjali Shastri,74.0,1.0,2.0,7.5,-,11.0,-,-,-,-,15.0,61.0,12.0,9.0,16.42,-,29.0,-,-,-,-,115.0,,,,,,,,,,,,Female
Sabbhineni Meghana,,,,,,,,,,,,62.0,3.0,3.0,38.0,108.57,61.0,17,2,1,-,114.0,18.0,17.0,16.0,18.42,102.78,69.0,38,3,1,-,258.0,Female
Saika Ishaque,,,,,,,,,,,,,,,,,,,,,,,65.0,3.0,1.0,8.0,88.88,8.0,1,-,-,-,8.0,Female
Saima Thakor,,,,,,,,,,,,88.0,10.0,6.0,7.66,47.42,29.0,5,-,-,-,46.0,70.0,3.0,1.0,6.0,150,6.0,1,-,-,-,6.0,Female
Sajeevan Sajana,,,,,,,,,,,,,,,,,,,,,,,39.0,14.0,8.0,10.25,110.81,11.0,6,-,-,-,41.0,Female
Samantha Lobatto,,,,,,,,,,,,137.0,3.0,2.0,0.0,12.5,1.0,-,-,-,-,1.0,74.0,3.0,1.0,0.0,100,3.0,-,-,-,-,3.0,Female
Sandhya Agarwal,1.0,13.0,23.0,50.45,0,190.0,0,0,4,4,1110.0,25.0,21.0,21.0,31.5,-,72.0,-,-,4,-,567.0,,,,,,,,,,,,Female
Sandhya Mazumdar,41.0,6.0,10.0,8.4,-,22.0,-,-,-,-,84.0,129.0,1.0,1.0,4.0,-,4.0,-,-,-,-,4.0,,,,,,,,,,,,Female
Sandra Braganza,57.0,6.0,9.0,15.0,-,19.0,-,-,-,-,45.0,89.0,20.0,11.0,6.28,-,11.0,-,-,-,-,44.0,,,,,,,,,,,,Female
Sangita Dabir,20.0,4.0,7.0,52.8,66.16,60.0,35,-,3,-,264.0,54.0,19.0,17.0,11.14,-,31.0,-,-,-,-,156.0,,,,,,,,,,,,Female
Sayali Satghare,75.0,1.0,2.0,5.0,17.85,7.0,1,-,-,-,10.0,133.0,3.0,1.0,0.0,66.66,2.0,-,-,-,-,2.0,,,,,,,,,,,,Female
Seema Desai,54.0,2.0,4.0,12.25,-,21.0,-,-,-,-,49.0,,,,,,,,,,,,,,,,,,,,,,,Female
Seema Pujare,,,,,,,,,,,,119.0,8.0,2.0,5.0,45.45,5.0,1,-,-,-,10.0,,,,,,,,,,,,Female
Shafali Verma,7.0,6.0,12.0,55.18,74.38,205.0,82,14,3,1,607.0,20.0,32.0,32.0,24.03,85.24,87.0,91,9,5,-,745.0,3.0,111.0,110.0,27.89,136.38,81.0,376,82,18,-,2901.0,Female
Shanta Rangaswamy,2.0,16.0,26.0,32.6,-,108.0,-,-,6,1,750.0,40.0,19.0,19.0,15.1,-,50.0,-,-,1,-,287.0,,,,,,,,,,,,Female
Sharmila Chakraborty,60.0,11.0,11.0,5.83,-,26.0,-,-,-,-,35.0,101.0,14.0,8.0,11.5,-,14.0,-,-,-,-,23.0,,,,,,,,,,,,Female
Shashi Gupta,11.0,13.0,22.0,28.25,-,48.0,-,-,-,-,452.0,44.0,20.0,19.0,20.23,-,50.0,-,-,1,-,263.0,,,,,,,,,,,,Female
Shikha Pandey,53.0,3.0,5.0,18.33,26.69,28.0,6,-,-,-,55.0,27.0,55.0,34.0,20.48,90.14,59.0,66,4,2,-,512.0,21.0,62.0,28.0,13.0,79.08,26.0,15,2,-,-,208.0,Female
Shilpa Gupta,,,,,,,,,,,,127.0,1.0,1.0,4.0,40,4.0,-,-,-,-,4.0,,,,,,,,,,,,Female
Shobha Pandit,22.0,8.0,14.0,17.64,-,69.0,-,-,1,-,247.0,91.0,3.0,3.0,14.0,-,21.0,-,-,-,-,42.0,,,,,,,,,,,,Female
Shree Charani,,,,,,,,,,,,103.0,21.0,8.0,3.66,64.7,11.0,-,2,-,-,22.0,61.0,25.0,4.0,4.5,128.57,7.0,-,1,-,-,9.0,Female
Shreyanka Patil,,,,,,,,,,,,122.0,3.0,2.0,7.0,58.33,5.0,1,-,-,-,7.0,44.0,24.0,9.0,4.5,75,7.0,3,-,-,-,27.0,Female
Shubhangi Kulkarni,3.0,19.0,32.0,23.33,-,118.0,-,-,2,1,700.0,34.0,27.0,26.0,13.34,-,44.0,-,-,-,-,347.0,,,,,,,,,,,,Female
Shubhlakshmi Sharma,85.0,1.0,1.0,4.0,23.52,4.0,-,-,-,-,4.0,118.0,10.0,5.0,2.2,35.48,4.0,1,-,-,-,11.0,45.0,18.0,8.0,3.57,83.33,10.0,3,1,-,-,25.0,Female
Shyama Shaw,28.0,3.0,5.0,61.33,63.44,66.0,24,-,2,-,184.0,104.0,5.0,3.0,7.33,66.66,11.0,2,-,-,-,22.0,,,,,,,,,,,,Female
Simran Bahadur,,,,,,,,,,,,,,,,,,,,,,,58.0,6.0,1.0,10.0,166.66,10.0,2,-,-,-,10.0,Female
Smitha Harikrishna,,,,,,,,,,,,47.0,22.0,17.0,17.76,53.47,34.0,17,-,-,-,231.0,,,,,,,,,,,,Female
Smriti Mandhana,5.0,8.0,14.0,48.84,63.37,149.0,108,3,3,2,635.0,2.0,120.0,120.0,47.88,90.36,136.0,653,74,35,14,5411.0,1.0,171.0,165.0,30.25,125.18,112.0,614,88,35,1,4538.0,Female
Sneh Rana,31.0,5.0,7.0,26.0,42.97,80.0,23,-,1,-,156.0,29.0,45.0,31.0,17.66,87.24,53.0,48,2,1,-,424.0,31.0,31.0,15.0,14.0,100,16.0,8,-,-,-,84.0,Female
Sneha Deepthi,,,,,,,,,,,,128.0,1.0,1.0,4.0,44.44,4.0,1,-,-,-,4.0,82.0,2.0,1.0,1.0,33.33,1.0,-,-,-,-,1.0,Female
Snehal Pradhan,,,,,,,,,,,,115.0,6.0,3.0,13.0,40.62,6.0,1,-,-,-,13.0,78.0,4.0,3.0,2.0,25,2.0,-,-,-,-,2.0,Female
Soniya Dabir,,,,,,,,,,,,86.0,4.0,3.0,26.0,66.66,31.0,3,-,-,-,52.0,35.0,13.0,9.0,11.33,103.03,23.0,5,-,-,-,68.0,Female
Sravanthi Naidu,78.0,1.0,1.0,9.0,22.5,9.0,1,-,-,-,9.0,131.0,4.0,2.0,1.0,33.33,2.0,-,-,-,-,2.0,57.0,6.0,2.0,11.0,39.28,11.0,-,-,-,-,11.0,Female
Sreerupa Bose,,,,,,,,,,,,123.0,2.0,1.0,7.0,-,7.0,-,-,-,-,7.0,,,,,,,,,,,,Female
Sudha Shah,8.0,21.0,38.0,18.78,-,62.0,-,-,1,-,601.0,39.0,13.0,12.0,24.41,-,53.0,-,-,1,-,293.0,,,,,,,,,,,,Female
Sujata Sridhar,64.0,3.0,4.0,16.0,-,20.0,-,-,-,-,32.0,109.0,6.0,6.0,3.8,-,14.0,-,-,-,-,19.0,,,,,,,,,,,,Female
Sulakshana Naik,49.0,2.0,3.0,20.66,45.58,25.0,8,-,-,-,62.0,24.0,46.0,41.0,15.51,-,79.0,-,-,2,-,574.0,12.0,31.0,28.0,14.76,-,59.0,-,-,1,-,384.0,Female
Sunetra Paranjpe,63.0,3.0,4.0,11.0,25.58,30.0,3,-,-,-,33.0,36.0,28.0,25.0,15.33,-,52.0,-,-,1,-,322.0,,,,,,,,,,,,Female
Sunita Singh,82.0,2.0,2.0,6.0,35.29,6.0,1,-,-,-,6.0,98.0,18.0,7.0,4.0,43.63,12.0,1,-,-,-,24.0,,,,,,,,,,,,Female
Susan Itticheria,58.0,7.0,10.0,6.66,-,11.0,-,-,-,-,40.0,113.0,2.0,2.0,14.0,-,8.0,-,-,-,-,14.0,,,,,,,,,,,,Female
Sushma Verma,,,,,,,,,,,,49.0,43.0,24.0,9.65,57.78,41.0,15,2,-,-,193.0,43.0,19.0,6.0,10.33,81.57,12.0,3,-,-,-,31.0,Female
Swagatika Rath,,,,,,,,,,,,83.0,3.0,3.0,29.0,76.31,30.0,6,-,-,-,58.0,53.0,2.0,2.0,7.0,70,9.0,1,-,-,-,14.0,Female
Taniya Bhatia,48.0,2.0,3.0,33.0,39.05,44.0,9,-,-,-,66.0,57.0,19.0,11.0,15.33,69.34,68.0,13,-,1,-,138.0,23.0,53.0,23.0,9.05,91,46.0,17,1,-,-,172.0,Female
Tejal Hasabnis,,,,,,,,,,,,56.0,6.0,6.0,46.66,78.65,53.0,16,-,1,-,140.0,,,,,,,,,,,,Female
Thirush Kamini,23.0,2.0,3.0,79.0,39.50,192.0,28,1,-,1,237.0,19.0,39.0,37.0,25.78,56.12,113.0,110,6,3,2,825.0,36.0,3.0,2.0,33.5,97.10,56.0,7,1,1,-,67.0,Female
Titas Sadhu,,,,,,,,,,,,121.0,8.0,3.0,3.0,37.5,4.0,-,-,-,-,9.0,73.0,12.0,2.0,3.0,27.27,2.0,-,-,-,-,3.0,Female
Ujwala Vasudev Nikam,34.0,8.0,12.0,10.41,-,26.0,-,-,-,-,125.0,95.0,2.0,2.0,15.5,-,31.0,-,-,-,-,31.0,,,,,,,,,,,,Female
Uma Chetry,,,,,,,,,,,,,,,,,,,,,,,41.0,7.0,4.0,9.25,90.24,24.0,5,-,-,-,37.0,Female
Vaishnavi Sharma,,,,,,,,,,,,120.0,1.0,1.0,0.0,200,10.0,2,-,-,-,10.0,,,,,,,,,,,,Female
Varsha Raffel,,,,,,,,,,,,111.0,9.0,4.0,4.0,41.02,7.0,-,-,-,-,16.0,,,,,,,,,,,,Female
Veda Krishnamurthy,,,,,,,,,,,,18.0,48.0,41.0,25.9,76.9,71.0,90,6,8,-,829.0,8.0,76.0,63.0,18.61,104.55,57.0,82,11,2,-,875.0,Female
Vellaswamy Vanitha,,,,,,,,,,,,72.0,6.0,6.0,17.0,68,27.0,14,-,-,-,85.0,20.0,16.0,15.0,14.4,109.09,41.0,30,3,-,-,216.0,Female
Venkatacher Kalpana,46.0,3.0,5.0,14.2,-,34.0,-,-,-,-,71.0,78.0,8.0,8.0,9.85,-,31.0,-,-,-,-,69.0,,,,,,,,,,,,Female
Vrinda Bhagat,61.0,2.0,4.0,8.5,-,16.0,-,-,-,-,34.0,80.0,11.0,11.0,7.87,-,18.0,-,-,-,-,63.0,,,,,,,,,,,,Female
Yastika Bhatia,40.0,3.0,5.0,19.6,60.86,66.0,14,1,1,-,98.0,21.0,28.0,27.0,24.66,73.02,64.0,78,2,4,-,666.0,14.0,26.0,20.0,19.68,100.8,54.0,51,3,1,-,374.0,Female
